Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,,LEO,SpaceX,Success,F9 v1.0[7]B0003.1[8],Failure[9][10](parachute),4,June
2,CCAFS,Dragon,,LEO,NASA,Success,F9 v1.0[7]B0004.1[8],Failure[9][14](parachute),8,December
3,CCAFS,Dragon,"525 kg (1,157 lb)[19]",LEO,NASA,Success,F9 v1.0[7]B0005.1[8],No attempt,22,May
4,CCAFS,SpaceX CRS-1,"4,700 kg (10,400 lb)",LEO,NASA,Success,F9 v1.0[7]B0006.1[8],No attempt,8,October
5,CCAFS,SpaceX CRS-2,"4,877 kg (10,752 lb)",LEO,NASA,Success,F9 v1.0[7]B0007.1[8],No attempt,1,March
6,VAFB,CASSIOPE,"500 kg (1,100 lb)",Polar orbit,MDA,Success,F9 v1.1[7]B1003[8],Uncontrolled(ocean)[d],29,September
7,CCAFS,SES-8,"3,170 kg (6,990 lb)",GTO,SES,Success,F9 v1.1B1004,No attempt[38],3,December
8,CCAFS,Thaicom 6,"3,325 kg (7,330 lb)",GTO,Thaicom,Success,F9 v1.1,No attempt[43],6,January
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg (5,062 lb)[45]",LEO,NASA,Success,F9 v1.1,Controlled(ocean)[d][46],18,April
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg (2,901 lb)",LEO,Orbcomm,Success,F9 v1.1,Controlled(ocean)[d][46],14,July
11,Cape Canaveral,AsiaSat 8,"4,535 kg (9,998 lb)",GTO,AsiaSat,Success,F9 v1.1,No attempt[57],5,August
12,Cape Canaveral,AsiaSat 6,"4,428 kg (9,762 lb)",GTO,AsiaSat,Success,F9 v1.1B1011[8],No attempt,7,September
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg (4,885 lb)[62]",LEO,NASA,Success,F9 v1.1B1010[8],Uncontrolled(ocean)[d][64],21,September
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg (5,280 lb)[69]",LEO,NASA,Success,F9 v1.1B1012[8],Failure(drone ship),10,January
15,Cape Canaveral,DSCOVR,"570 kg (1,260 lb)",HEO,USAF,Success,F9 v1.1B1013[8],Controlled(ocean)[d],11,February
16,Cape Canaveral,ABS-3A,"4,159 kg (9,169 lb)",GTO,ABS,Success,F9 v1.1B1014[8],No attempt[77],2,March
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg (4,184 lb)[82]",LEO,NASA,Success,F9 v1.1B1015[8],Failure[83](drone ship),14,April
